description
Patchy rain possible
Partly cloudy
Clear
Light rain shower
Light rain
Moderate or heavy rain shower
Moderate rain at times
Heavy rain at times
Cloudy
Patchy light rain
Overcast
Moderate rain
Moderate or heavy sleet
Patchy heavy snow
Light drizzle
Torrential rain shower
Patchy light rain with thunder
Thundery outbreaks possible
Heavy rain
Patchy sleet possible
Mist
Patchy light drizzle
Light sleet
Light snow showers
Light freezing rain
Blizzard
Heavy snow
Fog
Moderate snow
Light snow
Patchy moderate snow
Patchy snow possible
Moderate or heavy snow showers
Light sleet showers
