country,date,temp,humidity,weatherDesc
Sweden,2020-05-02,11,79.625,Partly cloudy
Sweden,2020-05-03,12,80.75,Overcast
Sweden,2020-05-04,11,73.75,Partly cloudy
Sweden,2020-05-05,10,55.5,Cloudy
Sweden,2020-05-06,11,56.25,Partly cloudy
Sweden,2020-05-07,9,54.125,Partly cloudy
Sweden,2020-05-08,13,62.625,Partly cloudy
Sweden,2020-05-09,9,55.0,Partly cloudy
Sweden,2020-05-10,12,73.0,Partly cloudy
Sweden,2020-05-11,6,62.75,Light rain
Sweden,2020-05-12,7,54.0,Patchy rain possible
Sweden,2020-05-13,5,80.0,Light sleet
Sweden,2020-05-14,7,65.75,Partly cloudy
Sweden,2020-05-15,9,67.625,Patchy rain possible
Sweden,2020-05-16,8,67.625,Partly cloudy
Sweden,2020-05-17,10,62.5,Partly cloudy
Sweden,2020-05-18,11,62.25,Overcast
Sweden,2020-05-19,10,66.875,Patchy rain possible
Sweden,2020-05-20,10,66.125,Partly cloudy
Sweden,2020-05-21,12,53.375,Partly cloudy
Sweden,2020-05-22,12,56.0,Partly cloudy
Sweden,2020-05-23,9,77.0,Partly cloudy
Sweden,2020-05-24,13,80.75,Light rain
Sweden,2020-05-25,15,71.5,Overcast
Sweden,2020-05-26,17,63.5,Clear
Sweden,2020-05-27,13,73.75,Partly cloudy
Sweden,2020-05-28,13,58.5,Cloudy
Sweden,2020-05-29,13,63.0,Cloudy
Sweden,2020-05-30,16,56.25,Partly cloudy
Sweden,2020-05-31,16,54.75,Clear
Sweden,2020-06-01,21,51.0,Partly cloudy
Sweden,2020-06-01,21,51.0,Partly cloudy
Sweden,2020-06-02,18,62.125,Patchy rain possible
Sweden,2020-06-03,15,57.25,Partly cloudy
Sweden,2020-06-04,15,71.125,Clear
Sweden,2020-06-05,15,76.875,Cloudy
Sweden,2020-06-06,13,80.5,Light rain
Sweden,2020-06-07,15,63.875,Cloudy
Sweden,2020-06-08,18,67.125,Partly cloudy
Sweden,2020-06-09,18,58.875,Partly cloudy
Sweden,2020-06-10,18,50.5,Partly cloudy
Sweden,2020-06-11,19,49.0,Clear
Sweden,2020-06-12,20,55.875,Partly cloudy
Sweden,2020-06-13,18,57.375,Partly cloudy
Sweden,2020-06-14,19,54.875,Clear
Sweden,2020-06-15,19,54.25,Clear
Sweden,2020-06-16,17,79.375,Partly cloudy
Sweden,2020-06-17,17,80.5,Partly cloudy
Sweden,2020-06-18,22,68.75,Partly cloudy
Sweden,2020-06-19,22,65.375,Clear
Sweden,2020-06-20,20,66.75,Partly cloudy
Sweden,2020-06-21,18,62.375,Overcast
Sweden,2020-06-22,19,65.625,Clear
Sweden,2020-06-23,22,63.0,Patchy rain possible
Sweden,2020-06-24,26,54.0,Clear
Sweden,2020-06-25,26,50.125,Partly cloudy
Sweden,2020-06-26,24,55.75,Partly cloudy
Sweden,2020-06-27,25,63.75,Partly cloudy
Sweden,2020-06-28,23,69.375,Partly cloudy
Sweden,2020-06-29,20,68.75,Partly cloudy
Sweden,2020-06-30,17,71.875,Partly cloudy
Sweden,2020-07-01,18,72.75,Patchy rain possible
Sweden,2020-07-01,18,72.75,Patchy rain possible
Sweden,2020-07-02,19,61.625,Patchy rain possible
Sweden,2020-07-03,17,56.125,Partly cloudy
Sweden,2020-07-04,16,74.75,Patchy rain possible
Sweden,2020-07-05,16,83.75,Partly cloudy
Sweden,2020-07-06,16,64.0,Patchy rain possible
Sweden,2020-07-07,17,60.375,Patchy rain possible
Sweden,2020-07-08,14,72.625,Partly cloudy
Sweden,2020-07-09,16,62.625,Patchy rain possible
Sweden,2020-07-10,17,61.375,Patchy rain possible
Sweden,2020-07-11,17,67.5,Light rain shower
Sweden,2020-07-12,16,74.75,Partly cloudy
Sweden,2020-07-13,17,66.625,Patchy rain possible
Sweden,2020-07-14,18,66.125,Patchy rain possible
Sweden,2020-07-15,15,87.75,Cloudy
Sweden,2020-07-16,21,65.5,Partly cloudy
Sweden,2020-07-17,22,54.625,Partly cloudy
Sweden,2020-07-18,22,64.5,Partly cloudy
Sweden,2020-07-19,22,66.5,Partly cloudy
Sweden,2020-07-20,21,77.625,Partly cloudy
Sweden,2020-07-21,17,72.25,Patchy rain possible
Sweden,2020-07-22,17,49.5,Overcast
Sweden,2020-07-23,16,49.0,Patchy rain possible
Sweden,2020-07-24,17,55.75,Partly cloudy
Sweden,2020-07-25,18,63.75,Partly cloudy
Sweden,2020-07-26,19,66.0,Partly cloudy
Sweden,2020-07-27,21,71.625,Overcast
Sweden,2020-07-28,18,79.875,Partly cloudy
Sweden,2020-07-29,17,75.75,Light rain shower
Sweden,2020-07-30,18,75.0,Patchy rain possible
Sweden,2020-07-31,19,70.625,Light rain
Sweden,2020-08-01,22,58.625,Partly cloudy
Sweden,2020-08-01,22,58.625,Partly cloudy
Sweden,2020-08-02,21,61.75,Partly cloudy
Sweden,2020-08-03,19,68.375,Patchy rain possible
Sweden,2020-08-04,19,58.375,Partly cloudy
Sweden,2020-08-05,16,63.375,Partly cloudy
Sweden,2020-08-06,20,78.375,Light drizzle
Sweden,2020-08-07,25,58.875,Partly cloudy
Sweden,2020-08-08,23,61.75,Partly cloudy
Sweden,2020-08-09,22,65.375,Partly cloudy
Sweden,2020-08-10,21,53.0,Partly cloudy
Sweden,2020-08-11,20,64.375,Partly cloudy
Sweden,2020-08-12,21,58.0,Partly cloudy
Sweden,2020-08-13,22,63.625,Partly cloudy
Sweden,2020-08-14,23,63.0,Partly cloudy
Sweden,2020-08-15,24,54.625,Partly cloudy
Sweden,2020-08-16,23,59.875,Partly cloudy
Sweden,2020-08-17,24,60.875,Partly cloudy
Sweden,2020-08-18,23,62.875,Partly cloudy
Sweden,2020-08-19,23,59.5,Partly cloudy
Sweden,2020-08-20,21,67.25,Partly cloudy
Sweden,2020-08-21,22,71.5,Patchy rain possible
Sweden,2020-08-22,23,74.0,Light rain shower
Sweden,2020-08-23,20,63.375,Partly cloudy
Sweden,2020-08-24,16,74.375,Partly cloudy
Sweden,2020-08-25,16,64.0,Patchy rain possible
Sweden,2020-08-26,15,65.375,Partly cloudy
Sweden,2020-08-27,16,63.25,Partly cloudy
Sweden,2020-08-28,16,68.625,Partly cloudy
Sweden,2020-08-29,14,82.875,Partly cloudy
Sweden,2020-08-30,15,83.125,Moderate rain
Sweden,2020-08-31,14,66.0,Cloudy
Sweden,2020-09-01,16,73.25,Partly cloudy
Sweden,2020-09-01,16,73.25,Partly cloudy
Sweden,2020-09-02,16,81.375,Clear
Sweden,2020-09-03,16,91.25,Mist
Sweden,2020-09-04,17,77.5,Fog
Sweden,2020-09-05,15,69.5,Partly cloudy
Sweden,2020-09-06,14,72.0,Patchy rain possible
Sweden,2020-09-07,16,71.625,Partly cloudy
Sweden,2020-09-08,15,72.125,Partly cloudy
Sweden,2020-09-09,14,74.875,Partly cloudy
Sweden,2020-09-10,12,66.5,Patchy rain possible
Sweden,2020-09-11,14,61.75,Partly cloudy
Sweden,2020-09-12,14,75.125,Partly cloudy
Sweden,2020-09-13,12,76.0,Partly cloudy
Sweden,2020-09-14,14,86.625,Mist
Sweden,2020-09-15,16,86.125,Partly cloudy
Sweden,2020-09-16,13,75.75,Mist
Sweden,2020-09-17,11,57.625,Overcast
Sweden,2020-09-18,14,65.5,Partly cloudy
Sweden,2020-09-19,13,61.125,Partly cloudy
Sweden,2020-09-20,15,79.25,Partly cloudy
Sweden,2020-09-21,16,73.125,Partly cloudy
Sweden,2020-09-22,15,67.625,Partly cloudy
Sweden,2020-09-23,16,72.625,Clear
Sweden,2020-09-24,17,74.125,Partly cloudy
Sweden,2020-09-25,15,75.0,Partly cloudy
Sweden,2020-09-26,15,91.0,Overcast
Sweden,2020-09-27,16,83.625,Partly cloudy
Sweden,2020-09-28,15,85.0,Partly cloudy
Sweden,2020-09-29,14,89.25,Overcast
Sweden,2020-09-30,14,78.75,Partly cloudy
Sweden,2020-10-01,13,86.75,Partly cloudy
Sweden,2020-10-01,13,86.75,Partly cloudy
Sweden,2020-10-02,14,84.125,Partly cloudy
Sweden,2020-10-03,13,81.5,Partly cloudy
Sweden,2020-10-04,13,88.0,Overcast
Sweden,2020-10-05,14,81.625,Light rain shower
Sweden,2020-10-06,14,91.875,Light rain shower
Sweden,2020-10-07,13,83.875,Partly cloudy
Sweden,2020-10-08,11,87.875,Partly cloudy
Sweden,2020-10-09,11,78.375,Cloudy
Sweden,2020-10-10,11,79.375,Cloudy
Sweden,2020-10-11,10,80.0,Patchy light drizzle
Sweden,2020-10-12,9,83.0,Partly cloudy
Sweden,2020-10-13,8,80.125,Partly cloudy
Sweden,2020-10-14,8,76.0,Partly cloudy
Sweden,2020-10-15,8,76.375,Cloudy
Sweden,2020-10-16,7,81.75,Partly cloudy
Sweden,2020-10-17,8,78.625,Partly cloudy
Sweden,2020-10-18,4,66.0,Light rain
Sweden,2020-10-19,4,58.5,Clear
Sweden,2020-10-20,4,76.25,Partly cloudy
Sweden,2020-10-21,9,92.0,Light rain
Sweden,2020-10-22,12,89.125,Mist
Sweden,2020-10-23,7,86.75,Light rain
Sweden,2020-10-24,8,88.875,Overcast
